ways,A,B,C,D,E,F
1,99.6093,99.9744,99.9744,99.9936,99.9744,74.9999
2,99.6093,99.9744,99.9744,99.9936,99.9744,78.112
4,99.6093,99.9744,99.9744,99.9936,99.9744,79.6736
8,99.6093,99.9744,99.9744,99.9936,99.9744,80.4544
16,99.6093,99.9744,99.9744,99.9936,99.9744,80.8448
32,99.6093,99.9744,99.9744,99.9936,99.9744,81.04
