line sizes,A,B,C,D,E,F
16,93.75,99.5904,99.5904,99.8976,99.5904,21.8176
32,96.875,99.7952,99.7952,99.9488,99.7952,21.8176
64,98.4375,99.8976,99.8976,99.9744,99.8976,21.8176
128,99.2187,99.9488,99.9488,99.9872,99.9488,60.9088
16,93.75,99.5904,99.5904,99.8976,99.5904,21.8176
32,96.875,99.7952,99.7952,99.9488,99.7952,21.8176
64,98.4375,99.8976,99.8976,99.9744,99.8976,21.8176
128,99.2187,99.9488,99.9488,99.9872,99.9488,60.9088
