ways,A,B,C,D,E,F
1,99.8046,99.9872,99.9872,99.9968,99.9872,87.4999
2,99.8046,99.9872,99.9872,99.9968,99.9872,87.4999
4,99.8046,99.9872,99.9872,99.9968,99.9872,87.4999
8,99.8046,99.9872,99.9872,99.9968,99.9872,87.4999
16,99.8046,99.9872,99.9872,99.9968,99.9872,87.4999
32,99.8046,99.9872,99.9872,99.9968,99.9872,87.4999
