ways,A,B,C,D,E,F
1,99.8046,99.9872,99.9872,99.9968,99.9872,87.4999
2,99.8046,99.9872,99.9872,99.9968,99.9872,89.056
4,99.8046,99.9872,99.9872,99.9968,99.9872,89.8368
8,99.8046,99.9872,99.9872,99.9968,99.9872,90.2272
16,99.8046,99.9872,99.9872,99.9968,99.9872,90.4224
32,99.8046,99.9872,99.9872,99.9968,99.9872,90.52
