ways,A,B,C,D,E,F
1,96.875,99.7952,99.7952,99.9488,99.7952,0
2,96.875,99.7952,99.7952,99.9488,99.7952,0
4,96.875,99.7952,99.7952,99.9488,99.7952,0
8,96.875,99.7952,99.7952,99.9488,99.7952,0
16,96.875,99.7952,99.7952,99.9488,99.7952,0
32,96.875,99.7952,99.7952,99.9488,99.7952,0
