ways,A,B,C,D,E,F
1,99.6093,99.9744,99.9744,99.9936,99.9744,74.9999
2,99.6093,99.9744,99.9744,99.9936,99.9744,74.9999
4,99.6093,99.9744,99.9744,99.9936,99.9744,74.9999
8,99.6093,99.9744,99.9744,99.9936,99.9744,74.9999
16,99.6093,99.9744,99.9744,99.9936,99.9744,74.9999
32,99.6093,99.9744,99.9744,99.9936,99.9744,74.9999
