ways,A,B,C,D,E,F
1,99.6093,99.9744,99.9744,99.9936,99.9744,74.9999
2,99.6093,99.9637,99.9623,99.9936,99.9586,75.1969
4,99.6093,99.9429,99.9448,99.9936,99.9426,75.3426
8,99.6093,99.9335,99.933,99.9931,99.9322,75.4016
16,99.6093,99.9186,99.9295,99.9927,99.9195,75.4562
32,99.6093,99.9007,99.9028,99.9924,99.9091,75.4713
