ways,A,B,C,D,E,F
1,99.8046,99.9872,99.9872,99.9968,99.9872,87.4999
2,99.8046,99.9803,99.9779,99.9968,99.983,87.5927
4,99.8046,99.9757,99.9782,99.9968,99.9742,87.6756
8,99.8046,99.9634,99.9699,99.9965,99.9676,87.7102
16,99.8046,99.9587,99.9474,99.9967,99.9587,87.732
32,99.8046,99.9547,99.9508,99.9964,99.9598,87.747
